Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"HDB, Long, 2026-03-24 (Price: 25.12)",Daily,2026-04-08 (Price: 27.11),No Price Target,No Date Target,27.52%/45.26%,"7.92%, 15 days","2026-04-08 (Price: 27.11), 7.92% above",39.3812 (Horizontal)/40.717 (F-Stack 1)/51.346 (F-Stack 2)/34.57 (EMA 200),2026-07-06 (Max)/2026-04-27 (Avg),No Recent Minima/No Horizontal Support/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"94.12%, Past 4 years, 17",25.23,No Information,No Information,No Information,No Information,No Information,No Information,6.97%/1.34%/3.62%,"10.43%, 10.43%",2.4 months/1 day/24 days,12.14%,-5.09%,17.23%,0.77,-0.31,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets)
DELTADRIFT,"HDB, Long, 2026-04-05 (Price: 24.83)",Weekly,2026-04-09 (Price: 27.11),No Price Target,No Date Target,1.32%/1.66%,"9.18%, 4 days","2026-04-09 (Price: 27.11), 9.18% above",27.6482 (Historic Rise or Fall to Pivot)/27.4669 (Avg % Gain of Historic Winning trades)/27.56 (Function Specific Target)/39.3812 (Horizontal)/40.717 (F-Stack 1)/51.346 (F-Stack 2)/34.57 (EMA 200)/29.0039 (Backtested Max),2026-07-05 (Max)/2026-04-15 (Min)/2026-05-31 (Avg),24.35/No Horizontal Support/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 15 years, 8",24.11,No Information,No Information,No Information,No Information,No Information,No Information,16.81%/7.78%/10.62%,"-0.0%, 13.44%",2.1 months/7 days/1.3 month,13.48%,5.22%,8.26%,1.54,0.26,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets)
OSCILLATOR DELTA,"HDB, Long, 2026-03-25 (Price: 25.81)",Daily,2026-04-08 (Price: 27.11),27.1031 (Avg % Gain of Historic Winning trades)/27.1 (Function Specific Target),No Date Target,2.99%/6.39%,"5.04%, 14 days","2026-04-08 (Price: 27.11), 5.04% above",27.9213 (Historic Rise or Fall to Pivot)/39.3812 (Horizontal)/40.717 (F-Stack 1)/51.346 (F-Stack 2)/34.57 (EMA 200)/28.8427 (Backtested Max),2026-07-02 (Max)/2026-04-28 (Avg),No Recent Minima/25.6925/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"88.0%, Past 6 years, 25",26.0,No Information,No Information,No Information,No Information,No Information,No Information,11.75%/0.27%/5.01%,"10.41%, 13.52%",2.3 months/3 days/24 days,14.18%,3.88%,10.3%,0.0,0.2,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets)
SIGMASHELL,"HDB, Long, 2026-03-19 (Price: 26.14)",Daily,No Exit Yet,27.0314 (Backtested Min),No Date Target,2.98%/8.41%,"3.71%, 20 days","2026-04-08 (Price: 27.11), 3.71% above",27.9175 (Avg % Gain of Historic Winning trades)/40.717 (Function Specific Target)/39.3812 (Horizontal)/40.717 (F-Stack 1)/51.346 (F-Stack 2)/34.57 (EMA 200)/29.3892 (Backtested Max),2026-10-30 (Max)/2026-06-05 (Min)/2026-08-13 (Avg),No Recent Minima/25.6925/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"77.78%, Past 5 years, 9",25.9,"-3.05, 100.0%",No Information,No Information,No Information,No Information,No Information,12.43%/3.41%/6.8%,"6.71%, 29.32%",5.2 months/1.8 month/3.4 months,4.93%,10.57%,-5.64%,0.0,0.52,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets)
FRACTAL TRACK,"JPM, Long, 2026-03-29 (Price: 282.84)",Weekly,No Exit Yet,No Price Target,2026-04-08 (Min),1.87%/5.63%,"8.88%, 11 days","2026-04-09 (Price: 307.97), 8.88% above",313.7261 (Historic Rise or Fall to Pivot)/330.7531 (Avg % Gain of Historic Winning trades)/424.42 (Function Specific Target)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/345.8002 (Backtested Max)/325.2943 (Backtested Min),2029-05-19 (Max)/2027-05-07 (Avg),210.28/125.7575/275.691/208.1524/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"94.12%, Past 20 years, 17",294.31,No Information,No Information,No Information,"23.66% (Price: 281.4195), 9.43% above, Upmove Bounce Back","2022-10-16 (Price: 101.28), 2026-01-11 (Price: 337.25)",No Information,22.26%/15.01%/16.94%,"6.94%, 37.49%",2.2 years/7 days/9.3 months,13.23%,7.04%,6.19%,0.0,0.36,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-03-31 (Price: 245.3)",Quarterly,2026-04-09 (Price: 307.97),No Price Target,No Date Target,22.75%/25.62%,"25.55%, 1 year","2026-04-08 (Price: 307.97), 25.55% above",386.88 (Function Specific Target)/378.0318 (Backtested Max),2030-05-21 (Max)/2026-09-03 (Min)/2027-10-25 (Avg),104.5/91.08/208.1524/186.1217/No F-Track Level/No F-Track Level/230.23,"100.0%, Past 45 years, 6",240.92,No Information,No Information,No Information,No Information,No Information,28.48% above/24.12% above/25.55% above,54.11%/10.04%/26.54%,"0%, 36.16%",3.6 years/1 year/1.8 year,5.39%,6.11%,-0.72%,0.0,0.31,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2024-06-30 (Price: 202.26)",Quarterly,2026-04-09 (Price: 307.97),318.02 (Function Specific Target)/311.7029 (Backtested Max),No Date Target,No Next Target,"52.26%, 1.8 year","2026-04-08 (Price: 307.97), 52.26% above",No Next Target,2029-08-20 (Max)/2027-01-24 (Avg),104.5/91.08/186.1217/130.0388/No F-Track Level/No F-Track Level/173.92,"100.0%, Past 45 years, 6",199.99,No Information,No Information,No Information,No Information,No Information,52.26% above/52.26% above/52.26% above,54.11%/10.04%/26.54%,"0%, 36.16%",3.6 years/1 year/1.8 year,5.39%,6.11%,-0.72%,0.0,0.31,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
FRACTAL TRACK,"AMD, Long, 2026-03-22 (Price: 201.33)",Weekly,2026-04-09 (Price: 231.82),No Price Target,No Date Target,3.34%/3.49%,"15.14%, 18 days","2026-04-09 (Price: 231.82), 15.14% above",239.9048 (Historic Rise or Fall to Pivot)/239.5626 (Avg % Gain of Historic Winning trades)/328.84 (Function Specific Target)/267.02 (Horizontal)/273.8526 (F-Stack 1)/307.9609 (F-Stack 2)/263.0578 (Backtested Max),2028-10-15 (Max)/2027-02-23 (Avg),192.43/72.05/187.3421/170.075/No F-Track Level/No F-Track Level/198.34,"85.71%, Past 20 years, 14",194.845,No Information,No Information,No Information,"38.2% (Price: 185.9012), 24.7% above, Upmove Bounce Back","2022-10-16 (Price: 54.57), 2025-11-02 (Price: 267.08)",No Information,30.66%/1.73%/18.99%,"17.29%, 53.25%",1.8 year/7 days/7.8 months,10.0%,7.0%,3.0%,0.0,0.43,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets)
FRACTAL TRACK,"AMD, Long, 2026-02-22 (Price: 200.15)",Weekly,2026-04-09 (Price: 231.82),No Price Target,No Date Target,2.73%/2.88%,"15.82%, 1.5 month","2026-04-09 (Price: 231.82), 15.82% above",238.4987 (Historic Rise or Fall to Pivot)/238.1585 (Avg % Gain of Historic Winning trades)/314.51 (Function Specific Target)/273.8526 (F-Stack 1)/307.9609 (F-Stack 2)/261.516 (Backtested Max),2028-09-17 (Max)/2027-01-26 (Avg),151.14/72.05/187.3421/170.075/No F-Track Level/No F-Track Level/198.34,"85.71%, Past 20 years, 14",202.145,No Information,No Information,No Information,"38.2% (Price: 194.2708), 19.33% above, Upmove Bounce Back","2025-04-13 (Price: 76.48), 2025-11-02 (Price: 267.08)",No Information,30.66%/1.73%/18.99%,"17.29%, 53.25%",1.8 year/7 days/7.8 months,10.0%,7.0%,3.0%,0.0,0.43,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets)
SIGMASHELL,"AMD, Long, 2026-03-03 (Price: 190.95)",Daily,No Exit Yet,229.541 (Avg % Gain of Historic Winning trades),No Date Target,7.04%/15.18%,"21.4%, 1.2 month","2026-04-08 (Price: 231.82), 21.4% above",273.8526 (Function Specific Target)/267.02 (Horizontal)/273.8526 (F-Stack 1)/307.9609 (F-Stack 2)/248.1395 (Backtested Max),2026-10-27 (Max)/2026-05-11 (Min)/2026-07-28 (Avg),151.14/72.05/187.3421/170.075/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"71.43%, Past 5 years, 7",191.46,"-3.21, 93.75%",No Information,No Information,No Information,No Information,No Information,29.95%/11.64%/20.21%,"21.78%, 48.49%",5.5 months/1.6 month/3.4 months,11.76%,6.65%,5.11%,0.0,0.44,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets)
