Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"FXI, Long, 2026-01-02 (Price: 39.82)",No Exit Yet,"0.0%, 0 days","93.75%, Past 20 years, 16","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-02 (Price: 39.82), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 36.9983), 7.63% above, Upmove Bounce Back","2024-01-28 (Price: 20.86), 2025-10-05 (Price: 42.0)",No Information,20.93%/0.55%/14.72%,"1.3%, 33.51%",4.3 years/2.3 months/1.8 year,2032-02-22/2026-04-11/2028-07-28,8.74%,2.27%,6.47%,1.68,0.1,41.2296/45.6815/52.5/42.665/77.6857/94.2202/No EMA 200 Target,38.6/20.865/No F-Stack Support/No F-Stack Support/No support/No support/37.77,No Data (Across ALL Assets),No Data (Across ALL Assets)
OSCILLATOR DELTA,"IBIT, Long, 2026-01-02 (Price: 50.94)",No Exit Yet,"0.0%, 0 days","83.33%, Past 1 years, 6","Daily, is Confirmed on 2026-01-02",No Cancellation Possible,"2026-01-02 (Price: 50.94), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,8.18%/7.68%/7.94%,"13.32%, 14.42%",1.3 month/15 days/29 days,2026-02-27/2026-01-23/2026-02-13,22.32%,27.39%,-5.07%,0.36,1.11,53.054/54.9846/55.02/70.855/74.3812/88.2877/58.81,No Recent Minima/41.99/45.1961/No support/50.025/44.8814/No EMA 200 Support,88.14%/59/1.9 month (Across ALL Assets),66.67%/264/2.6 months (Across ALL Assets)
SIGMASHELL,"NFLX, Long, 2026-01-02 (Price: 90.99)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 5","Daily, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-02 (Price: 90.99), 0.0% below",0 days,"-5.54, 66.67",No Information,No Information,No Information,No Information,No Information,44.38%/13.01%/27.21%,"0%, 18.45%",6.7 months/2 months/3.1 months,2026-10-20/2026-03-29/2026-05-16,64.2%,22.33%,41.87%,2.41,0.93,98.5786/115.7484/138.686/No Horizontal Resistance/138.686/152.7047/113.39,85.59/34.8663/77.3488/70.5306/No support/No support/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"MSE.PA, Long, 2026-01-02 (Price: 65.3)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-02 (Price: 65.3), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.91% above/0.0% below/0.0% below,4.76%/0.41%/2.29%,"0%, 13.59%",3.5 months/6 days/1.3 month,2026-06-03/2026-01-10/2026-02-27,9.16%,6.81%,2.35%,1.46,0.37,67.5594/66.7954/66.67/No Horizontal Resistance/79.2125/108.6508/No EMA 200 Target,63.33/33.6667/58.6808/47.8642/57.7778/53.0814/60.1,No Data (Across ALL Assets),No Data (Across ALL Assets)
FRACTAL TRACK,"UBER, Long, 2026-01-02 (Price: 82.86)",No Exit Yet,"0.0%, 0 days","100.0%, Past 6 years, 4","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-02 (Price: 82.86), 0.0% below",0 days,No Information,No Information,No Information,"50% (Price: 78.415), 5.67% above, Upmove Bounce Back","2024-08-11 (Price: 54.84), 2025-09-28 (Price: 101.99)",No Information,18.06%/15.5%/16.66%,"0%, 6.35%",1.6 month/14 days/29 days,2026-03-12/2026-01-22/2026-02-13,23.54%,8.01%,15.53%,14.78,0.43,74.7397/96.6645/111.15/No Horizontal Resistance/109.2759/122.511/88.02,79.31/34.6025/75.9736/63.3753/82.5663/70.6297/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"NVO, Long, 2026-01-02 (Price: 52.39)",No Exit Yet,"0.0%, 0 days","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-02 (Price: 52.39), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.02% below/0.0% below/0.0% below,20.26%/3.25%/8.42%,"16.75%, 27.09%",4.4 months/28 days/1.9 month,2026-07-12/2026-02-11/2026-03-25,9.13%,7.21%,1.92%,0.46,0.37,57.6971/56.8012/75.35/139.01/159.2295/190.9685/59.76,45.68/45.4025/52.1958/49.5469/47.9075/35.154/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
FRACTAL TRACK,"AMZN, Long, 2026-01-02 (Price: 226.5)",No Exit Yet,"0.0%, 0 days","93.75%, Past 20 years, 16","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-02 (Price: 226.5), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 221.462), 2.27% above, Upmove Bounce Back","2025-04-13 (Price: 161.38), 2025-11-09 (Price: 258.6)",No Information,31.25%/0.75%/16.86%,"0.32%, 56.17%",2.8 years/28 days/7.4 months,2029-12-30/2026-02-11/2026-11-19,13.55%,17.13%,-3.58%,1.66,0.81,266.9529/264.6879/284.83/239.3/257.1563/274.1043/No EMA 200 Target,213.04/86.995/220.2419/194.9126/216.6816/190.9211/217.03,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"SOXX, Long, 2025-12-31 (Price: 301.15)",No Exit Yet,"4.16%, 2 days","100.0%, Past 24 years, 7","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-02 (Price: 313.69), 4.16% above",2 days,No Information,No Information,No Information,No Information,No Information,4.16% above/15.83% above/4.16% above,74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-16/2027-11-08/2028-09-16,16.0%,8.74%,7.26%,0.66,0.45,401.8546/444.9491/463.42/No Horizontal Resistance/348.2242/411.0319/No EMA 200 Target,106.24/110.475/285.4342/254.997/No F-Track Level/No F-Track Level/246.22,No Data (Across ALL Assets),No Data (Across ALL Assets)
FRACTAL TRACK,"C6L.SI, Short, 2025-12-31 (Price: 6.4)",No Exit Yet,"-0.78%, 2 days","92.86%, Past 40 years, 14","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-02 (Price: 6.45), 0.78% above",2 days,No Information,No Information,No Information,"78.6% (Price: 7.5813), 14.92% below, Upmove Break Below","2023-06-30 (Price: 6.44), 2024-08-31 (Price: 6.4)",No Information,13.97%/3.18%/6.42%,"3.38%, 13.97%",3.1 months/1 month/1.7 month,2026-05-14/2026-02-12/2026-03-14,8.07%,5.5%,2.57%,1.46,-0.19,5.9699/5.9891/6.38/4.7975/No F-Stack Support/No F-Stack Support/No EMA 200 Target,No support/4.7975/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No support,No Data (Across ALL Assets),No Data (Across ALL Assets)
FRACTAL TRACK,"AMD, Short, 2025-12-30 (Price: 215.34)",No Exit Yet,"-3.78%, 3 days","85.0%, Past 5 years, 40","Daily, was CONFIRMED on 2025-12-30",Already confirmed,"2026-01-02 (Price: 223.47), 3.78% above",3 days,No Information,No Information,No Information,"38.2% (Price: 222.0896), 0.62% above, Upmove Break Below","2025-10-29 (Price: 257.4), 2025-11-25 (Price: 206.58)",No Information,8.59%/0.06%/4.31%,"24.21%, 11.06%",1.8 month/1 day/8 days,2026-03-18/2025-12-31/2026-01-10,20.24%,5.1%,15.14%,0.39,0.6,214.4786/206.0588/184.85/72.6533/187.3421/170.075/163.23,No support/72.6533/187.3421/170.075/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
