Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
^TNX,Daily,4.1085,4.13,0.52,Support
EURUSD=X,Daily,1.175,1.1751,0.01,Support
UBER,Daily,82.12,82.12,0.0,Support
NZDUSD=X,Daily,0.5837,0.5795,0.72,Resistance
INDY,Daily,49.0133,48.91,0.21,Resistance
DIS,Weekly,114.645,114.79,0.13,Support
HDFCBANK.NS,Daily,1009.6,990.9,1.85,Resistance
FXI,Weekly,37.755,38.67,2.42,Support
IEI,Daily,118.72,119.56,0.71,Support
IEI,Weekly,119.345,119.56,0.18,Support
GBPUSD=X,Daily,1.3631,1.347,1.18,Resistance
GBPUSD=X,Weekly,1.3445,1.347,0.19,Support
CAD=X,Daily,1.3921,1.3668,1.82,Resistance
CAD=X,Weekly,1.3724,1.3668,0.41,Resistance
KWEB,Daily,34.595,34.39,0.59,Resistance
IHI,Daily,62.445,62.67,0.36,Support
GBPSGD=X,Daily,1.7443,1.7333,0.63,Resistance
GBPSGD=X,Weekly,1.7483,1.7333,0.86,Resistance
JNK,Daily,96.8482,97.3,0.47,Support
JNK,Weekly,96.515,97.3,0.81,Support
HYG,Daily,80.075,80.71,0.79,Support
HYG,Weekly,78.975,80.71,2.2,Support
XLY,Daily,121.1117,120.36,0.62,Resistance
RELIANCE.NS,Daily,1531.725,1539.8,0.53,Support
PFE,Daily,24.95,24.99,0.16,Support
^NSEI,Daily,25973.3496,25938.8496,0.13,Resistance
C6L.SI,Daily,6.48,6.41,1.08,Resistance
C6L.SI,Monthly,6.5913,6.41,2.75,Resistance
JD,Daily,28.38,28.71,1.16,Support
NIFTY_MIDCAP_100.NS,Daily,60182.9323,59914.25,0.45,Resistance
GILD,Daily,120.895,123.18,1.89,Support
INFY,Daily,17.818,18.04,1.25,Support
IWM,Weekly,244.72,248.03,1.35,Support
MCD,Weekly,300.87,308.03,2.38,Support
NZDCAD=X,Daily,0.8068,0.7963,1.31,Resistance
NZDCAD=X,Weekly,0.791,0.7963,0.67,Support
PG,Daily,142.22,144.05,1.29,Support
RINF,Daily,32.33,32.095,0.73,Resistance
CEN.NZ,Daily,9.4367,9.29,1.55,Resistance
EBO.NZ,Daily,28.005,27.75,0.91,Resistance
AIA.NZ,Daily,8.2767,8.28,0.04,Support
AIA.NZ,Weekly,8.295,8.28,0.18,Resistance
CNU.NZ,Weekly,9.3875,9.48,0.99,Support
FPH.NZ,Daily,37.54,37.65,0.29,Support
GNE.NZ,Weekly,2.3525,2.4,2.02,Support
SUM.NZ,Daily,11.9225,12.15,1.91,Support
ATM.NZ,Daily,10.965,10.75,1.96,Resistance
ATD.TO,Daily,73.26,74.7,1.97,Support
BIPC.TO,Daily,63.1517,62.36,1.25,Resistance
CNR.TO,Daily,138.38,136.09,1.65,Resistance
CNQ.TO,Daily,46.105,46.47,0.79,Support
KXS.TO,Daily,171.3157,173.95,1.54,Support
SJ.TO,Daily,84.3925,85.36,1.15,Support
TFII.TO,Daily,140.58,143.27,1.91,Support
NVO,Daily,50.3825,51.22,1.66,Support
^NZ50,Weekly,13418.2035,13540.9102,0.91,Support
USDCHF=X,Daily,0.798,0.7892,1.11,Resistance
UPS,Weekly,101.785,99.64,2.11,Resistance
