Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
^TNX,Daily,4.1085,4.038,1.72,Resistance
EURUSD=X,Daily,1.1628,1.1529,0.85,Resistance
EURUSD=X,Weekly,1.1452,1.1529,0.67,Support
ETH-USD,Daily,2839.8557,2893.1487,1.88,Support
UBER,Daily,82.12,83.69,1.91,Support
ABNB,Daily,114.3038,114.41,0.09,Support
NZDUSD=X,Daily,0.5509,0.5596,1.59,Support
NZDUSD=X,Weekly,0.5496,0.5596,1.83,Support
NZDUSD=X,Monthly,0.5498,0.5596,1.78,Support
HDB,Daily,35.675,36.38,1.98,Support
HDFCBANK.NS,Daily,1004.15,989.8,1.43,Resistance
FXI,Daily,39.255,39.35,0.24,Support
IEI,Daily,119.515,120.14,0.52,Support
IEI,Weekly,119.345,120.14,0.67,Support
GBPUSD=X,Daily,1.2963,1.3111,1.14,Support
GBPUSD=X,Weekly,1.3358,1.3111,1.85,Resistance
CAD=X,Weekly,1.3845,1.4122,2.0,Support
IHI,Daily,62.445,63.35,1.45,Support
GBPSGD=X,Daily,1.7306,1.7073,1.35,Resistance
GBPSGD=X,Weekly,1.7483,1.7073,2.35,Resistance
GBPSGD=X,Monthly,1.6701,1.7073,2.23,Support
JNK,Daily,96.901,97.04,0.14,Support
JNK,Weekly,96.515,97.04,0.54,Support
HYG,Daily,80.075,80.59,0.64,Support
HYG,Weekly,78.975,80.59,2.04,Support
XLF,Daily,52.13,51.89,0.46,Resistance
TCS.NS,Daily,3129.79,3119.2,0.34,Resistance
RELIANCE.NS,Daily,1531.725,1539.7,0.52,Support
PFE,Daily,24.95,25.22,1.08,Support
XLE,Daily,87.9725,89.17,1.36,Support
^NSEI,Daily,25973.3496,25884.8008,0.34,Resistance
C6L.SI,Daily,6.53,6.45,1.23,Resistance
C6L.SI,Monthly,6.5913,6.45,2.14,Resistance
NIFTY_MIDCAP_100.NS,Daily,60182.9323,60298.0,0.19,Support
DBC,Daily,22.9875,22.64,1.51,Resistance
ENZL,Daily,44.04,44.47,0.98,Support
ENZL,Weekly,43.725,44.47,1.7,Support
IWM,Weekly,244.72,239.9,1.97,Resistance
MCD,Weekly,300.87,304.9,1.34,Support
NZDCAD=X,Daily,0.7945,0.7899,0.58,Resistance
NZDCAD=X,Weekly,0.791,0.7899,0.14,Resistance
RINF,Daily,32.33,32.19,0.43,Resistance
USO,Daily,71.282,70.42,1.21,Resistance
WMT,Daily,105.01,104.06,0.9,Resistance
AIA.NZ,Daily,7.965,8.0,0.44,Support
CNU.NZ,Daily,9.22,9.38,1.74,Support
CNU.NZ,Weekly,9.3875,9.38,0.08,Resistance
FBU.NZ,Daily,3.32,3.27,1.51,Resistance
GNE.NZ,Daily,2.495,2.45,1.8,Resistance
IFT.NZ,Daily,11.925,11.78,1.22,Resistance
MEL.NZ,Daily,5.725,5.79,1.14,Support
MEL.NZ,Weekly,5.73,5.79,1.05,Support
BYD.TO,Daily,221.66,221.38,0.13,Resistance
CNR.TO,Weekly,126.48,128.08,1.27,Support
CNQ.TO,Daily,46.105,46.48,0.81,Support
DOL.TO,Daily,197.56,199.13,0.79,Support
MX.TO,Daily,49.41,48.71,1.42,Resistance
MX.TO,Weekly,49.09,48.71,0.77,Resistance
MTY.TO,Daily,37.115,36.94,0.47,Resistance
MTY.TO,Weekly,37.07,36.94,0.35,Resistance
SJ.TO,Daily,84.3925,84.18,0.25,Resistance
TRI.TO,Daily,186.5008,186.9,0.21,Support
MSE.PA,Daily,60.685,61.7,1.67,Support
BYDDY,Weekly,12.0509,12.21,1.32,Support
NVO,Daily,45.4025,44.97,0.95,Resistance
^NZ50,Weekly,13418.2035,13480.4297,0.46,Support
