Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
^TNX,Daily,4.1085,4.108,0.01,Resistance
EURUSD=X,Daily,1.1628,1.1648,0.17,Support
EURUSD=X,Weekly,1.1452,1.1648,1.71,Support
NZDUSD=X,Daily,0.5837,0.5764,1.25,Resistance
HDB,Daily,35.59,35.96,1.04,Support
DIS,Daily,107.6125,105.47,1.99,Resistance
HDFCBANK.NS,Daily,1009.6,997.2,1.23,Resistance
FXI,Daily,39.255,39.31,0.14,Support
IEI,Daily,118.72,119.59,0.73,Support
IEI,Weekly,119.345,119.59,0.21,Support
GBPUSD=X,Weekly,1.3358,1.3326,0.24,Resistance
CAD=X,Daily,1.3828,1.397,1.03,Support
CAD=X,Weekly,1.3845,1.397,0.9,Support
NKE,Weekly,67.3625,65.69,2.48,Resistance
IHI,Daily,62.445,63.31,1.39,Support
GBPSGD=X,Daily,1.7306,1.7131,1.01,Resistance
GBPSGD=X,Weekly,1.7483,1.7131,2.02,Resistance
GBPSGD=X,Monthly,1.6701,1.7131,2.57,Support
JNK,Daily,97.4671,97.29,0.18,Resistance
JNK,Weekly,96.515,97.29,0.8,Support
HYG,Daily,79.5127,80.75,1.56,Support
HYG,Weekly,78.975,80.75,2.25,Support
XLY,Daily,241.84,238.14,1.53,Resistance
TCS.NS,Daily,3174.2166,3229.2,1.73,Support
RELIANCE.NS,Daily,1531.725,1535.6,0.25,Support
PFE,Daily,25.65,25.7,0.19,Support
XLE,Daily,93.8714,92.22,1.76,Resistance
XLE,Weekly,94.2,92.22,2.1,Resistance
^NSEI,Daily,25973.3496,26033.75,0.23,Support
C6L.SI,Daily,6.48,6.44,0.62,Resistance
C6L.SI,Monthly,6.5913,6.44,2.29,Resistance
NIFTY_MIDCAP_100.NS,Daily,60182.9323,60299.8008,0.19,Support
DBC,Daily,22.9875,23.19,0.88,Support
GILD,Daily,120.895,122.62,1.43,Support
JETS,Daily,27.045,26.91,0.5,Resistance
JETS,Weekly,26.9582,26.91,0.18,Resistance
NZDCAD=X,Daily,0.7945,0.8017,0.9,Support
NZDCAD=X,Weekly,0.791,0.8017,1.35,Support
RINF,Daily,32.33,32.4574,0.39,Support
USO,Daily,71.282,71.39,0.15,Support
CEN.NZ,Daily,9.4367,9.5,0.67,Support
EBO.NZ,Daily,28.005,28.05,0.16,Support
AIA.NZ,Daily,7.965,7.91,0.69,Resistance
CNU.NZ,Daily,9.1375,9.13,0.08,Resistance
FPH.NZ,Daily,37.54,38.2,1.76,Support
FBU.NZ,Daily,3.49,3.53,1.15,Support
GNE.NZ,Weekly,2.3525,2.38,1.17,Support
MFT.NZ,Daily,66.0371,66.5,0.7,Support
MEL.NZ,Daily,5.725,5.65,1.31,Resistance
MEL.NZ,Weekly,5.73,5.65,1.4,Resistance
ATD.TO,Daily,73.26,74.49,1.68,Support
BIPC.TO,Weekly,67.1133,65.64,2.2,Resistance
DOL.TO,Daily,197.56,200.08,1.28,Support
MX.TO,Daily,52.9,52.18,1.36,Resistance
MTY.TO,Daily,37.115,37.69,1.55,Support
MTY.TO,Weekly,37.07,37.69,1.67,Support
SJ.TO,Daily,84.3925,85.5,1.31,Support
TRI.TO,Daily,186.5008,186.64,0.07,Support
^NZ50,Weekly,13418.2035,13553.6602,1.01,Support
USDCHF=X,Daily,0.7933,0.8029,1.21,Support
