Symbol,Interval,Latest Horizontal,Current Price,Difference (%)
^TNX,Daily,4.1085,4.101,0.18
EURUSD=X,Daily,1.1628,1.1543,0.73
EURUSD=X,Weekly,1.1452,1.1543,0.79
BTC-USD,Daily,109156.1699,109457.3281,0.28
ABNB,Daily,127.772,126.54,0.96
NZDUSD=X,Daily,0.5837,0.5726,1.9
HDB,Daily,35.675,36.22,1.53
HDFCBANK.NS,Daily,1004.15,987.3,1.68
FXI,Daily,39.255,39.71,1.16
IEI,Daily,119.1014,119.75,0.54
IEI,Weekly,119.345,119.75,0.34
GBPUSD=X,Daily,1.2999,1.3154,1.2
GBPUSD=X,Weekly,1.3359,1.3154,1.53
CAD=X,Daily,1.3894,1.401,0.83
CAD=X,Weekly,1.3845,1.401,1.19
JPY=X,Daily,151.585,153.94,1.55
IHI,Daily,59.115,60.19,1.82
GBPSGD=X,Daily,1.6846,1.7098,1.5
GBPSGD=X,Weekly,1.7483,1.7098,2.2
GBPSGD=X,Monthly,1.6701,1.7098,2.38
JNK,Daily,96.9656,97.39,0.44
JNK,Weekly,96.515,97.39,0.91
HYG,Daily,80.0929,80.8,0.88
HYG,Weekly,78.975,80.8,2.31
XLV,Daily,142.39,144.25,1.31
XLV,Weekly,142.595,144.25,1.16
XLF,Daily,52.13,52.37,0.46
XLY,Daily,241.84,239.93,0.79
TCS.NS,Daily,2999.4,3058.0,1.95
WIPRO.NS,Daily,239.2625,240.67,0.59
PFE,Daily,24.95,24.65,1.2
XLE,Daily,87.9725,88.13,0.18
^NSEI,Daily,25973.3496,25722.0996,0.97
C6L.SI,Daily,6.5533,6.63,1.17
C6L.SI,Weekly,6.6638,6.63,0.51
C6L.SI,Monthly,6.5913,6.63,0.59
JD,Daily,33.0367,33.04,0.01
NIFTY_MIDCAP_100.NS,Daily,60182.9323,59825.8984,0.59
BTI,Weekly,51.2883,51.19,0.19
DBC,Daily,23.34,22.88,1.97
GILD,Daily,120.895,119.79,0.91
IBIT,Daily,61.53,62.3,1.25
IWM,Weekly,244.72,246.23,0.62
MAR,Daily,256.5533,260.58,1.57
MCD,Daily,297.775,298.43,0.22
MCD,Weekly,300.87,298.43,0.81
NZDCAD=X,Daily,0.799,0.8017,0.34
NZDCAD=X,Weekly,0.791,0.8017,1.35
PG,Daily,150.27,150.37,0.07
PPH,Daily,91.08,92.54,1.6
RHHBY,Daily,40.575,40.41,0.41
RINF,Daily,32.38,32.3908,0.03
USO,Daily,71.282,72.56,1.79
CEN.NZ,Daily,9.4367,9.32,1.24
AIA.NZ,Daily,7.965,8.12,1.95
AIA.NZ,Weekly,8.295,8.12,2.11
CNU.NZ,Daily,9.22,9.36,1.52
CNU.NZ,Weekly,9.3875,9.36,0.29
FPH.NZ,Daily,37.54,37.1,1.17
FBU.NZ,Daily,3.32,3.26,1.81
GNE.NZ,Daily,2.495,2.51,0.6
MEL.NZ,Daily,6.0367,5.92,1.93
SUM.NZ,Daily,11.6867,11.6,0.74
BYD.TO,Daily,223.15,224.03,0.39
BIPC.TO,Daily,63.1517,63.55,0.63
KXS.TO,Daily,172.025,169.84,1.27
NVO,Daily,50.3825,49.46,1.83
^NZ50,Weekly,13418.2035,13548.3203,0.97
USDCHF=X,Daily,0.7933,0.8042,1.38
NU,Daily,16.285,16.11,1.07
