Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
EURUSD=X,Daily,1.1455,1.1578,1.08,Support
EURUSD=X,Weekly,1.1452,1.1578,1.1,Support
NZDUSD=X,Daily,0.5837,0.5915,1.34,Support
HDB,Daily,29.0483,28.5,1.89,Support
INDY,Daily,44.1,44.34,0.54,Support
SFTBY,Daily,11.9025,12.04,1.16,Support
HDFCBANK.NS,Daily,849.765,833.95,1.86,Support
ASHR,Daily,34.17,33.93,0.7,Support
IEI,Daily,119.5325,119.1,0.36,Support
IEI,Weekly,119.345,119.1,0.21,Support
GBPUSD=X,Daily,1.3685,1.3414,1.98,Support
GBPUSD=X,Weekly,1.3445,1.3414,0.23,Support
CAD=X,Daily,1.3656,1.3577,0.58,Support
CAD=X,Weekly,1.3785,1.3577,1.51,Support
JPY=X,Daily,159.617,158.087,0.96,Resistance
IHI,Daily,56.288,56.28,0.01,Support
TLT,Daily,86.035,87.14,1.28,Support
GBPSGD=X,Daily,1.7306,1.7051,1.48,Support
GBPSGD=X,Weekly,1.6651,1.7051,2.4,Support
GBPSGD=X,Monthly,1.6701,1.7051,2.1,Support
JNK,Daily,96.9467,96.11,0.86,Support
JNK,Weekly,96.515,96.11,0.42,Support
HYG,Daily,79.6567,79.86,0.26,Support
HYG,Weekly,79.3333,79.86,0.66,Support
PFE,Daily,27.204,27.3,0.35,Resistance
C6L.SI,Weekly,6.6638,6.67,0.09,Resistance
C6L.SI,Monthly,6.5913,6.67,1.19,Support
JD,Daily,28.38,28.11,0.95,Resistance
BAC,Daily,48.475,48.52,0.09,Support
BTI,Daily,59.135,59.16,0.04,Support
MA,Daily,494.96,504.0,1.83,Support
MCD,Daily,321.444,325.21,1.17,Support
NZDCAD=X,Daily,0.8068,0.8047,0.26,Support
NZDCAD=X,Weekly,0.791,0.8047,1.73,Resistance
PG,Daily,152.498,153.32,0.54,Support
RINF,Daily,32.3213,32.1612,0.5,Resistance
CEN.NZ,Daily,9.365,9.31,0.59,Support
CNU.NZ,Daily,9.1117,9.24,1.41,Support
CNU.NZ,Weekly,9.3875,9.24,1.57,Support
FPH.NZ,Daily,39.407,38.85,1.41,Support
IFT.NZ,Daily,10.78,10.93,1.39,Support
SUM.NZ,Daily,10.56,10.38,1.7,Support
ATD.TO,Daily,80.68,80.8,0.15,Support
BIPC.TO,Daily,63.478,64.65,1.85,Support
CNR.TO,Daily,144.4475,144.2,0.17,Support
KXS.TO,Daily,139.8917,139.05,0.6,Resistance
MX.TO,Daily,74.0367,72.6,1.94,Resistance
^NZ50,Daily,13075.415,13163.2197,0.67,Support
^NZ50,Weekly,13418.2035,13163.2197,1.9,Support
UPS,Weekly,101.785,100.8,0.97,Support
LULU,Daily,159.855,162.79,1.84,Support
