Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Exit Signal Date/Price[$],"Current Trading Date/Price[$], Current Price vs Signal]","Win Rate [%], History Tested, Number of Trades",Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Current Mark to Market and Holding Period,"Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2025-11-13 (Price: 85.97)",Daily,No Price Target,2025-11-18 (Earliest),No Exit Yet,"2025-11-18 (Price: 82.675), 3.83% below","80.56%, Past 4 years, 36",5.25%/6.11%,"-3.83%, 3 days",12.01%/1.22%/4.01%,87.7238 (Historic Rise or Fall to Pivot)/89.4174 (Avg % Gain of Historic Winning trades)/90.16 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/96.295 (Backtested Best)/87.0188 (Backtested Worst)/89.4174 (Backtested Avg),2026-05-04 (Farthest)/2025-12-13 (Avg),"-3.83%, 3 days","Daily, is CONFIRMED on 2025-11-13",Already confirmed,"2025-11-18 (Price: 82.675), 3.83% below",3 days,No Information,No Information,No Information,No Information,No Information,3.04% below/3.83% below/3.83% below,"21.83%, 34.43%",119 days/4 days/21 days,2026-05-04/2025-11-18/2025-12-13,8.72%,13.33%,-4.61%,0.22,0.49,87.7238/89.4174/90.16/No Horizontal Resistance/95.0177/123.2166,78.12/38.015/66.807/60.0601/No F-Track Level/No F-Track Level,80.07/74.93,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"BYD.TO, Long, 2025-11-13 (Price: 224.5)",Daily,No Price Target,2025-11-14 (Earliest),No Exit Yet,"2025-11-18 (Price: 214.41), 4.49% below","75.0%, Past 6 years, 28",7.53%/9.94%,"-4.49%, 3 days",10.87%/5.0%/6.28%,230.5615 (Historic Rise or Fall to Pivot)/238.5986 (Avg % Gain of Historic Winning trades)/244.71 (Exit Rule)/256.6133 (Horizontal)/367.2583 (F-Stack 1)/388.6839 (F-Stack 2)/248.9032 (Backtested Best)/235.725 (Backtested Worst)/238.5986 (Backtested Avg),2026-02-22 (Farthest)/2025-12-20 (Avg),"-4.49%, 3 days","Daily, is Confirmed on 2025-11-13",No Cancellation Possible,"2025-11-18 (Price: 214.41), 4.49% below",3 days,No Information,No Information,No Information,No Information,No Information,No Information,"13.39%, 19.4%",70 days/1 days/26 days,2026-02-22/2025-11-14/2025-12-20,-15.59%,2.6%,-18.19%,-0.14,0.1,230.5615/238.5986/244.71/256.6133/367.2583/388.6839,No Recent Minima/188.685/147.1212/139.9966/No F-Track Level/No F-Track Level,223.94/216.71,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2025-11-12 (Price: 12.67)",Daily,No Price Target,2025-11-17 (Earliest),No Exit Yet,"2025-11-18 (Price: 11.6), 8.45% below","96.67%, Past 4 years, 30",10.17%/10.2%,"-8.45%, 4 days",9.48%/0.89%/3.92%,13.1743 (Historic Rise or Fall to Pivot)/13.1667 (Avg % Gain of Historic Winning trades)/12.78 (Exit Rule)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/13.8711 (Backtested Best)/12.7828 (Backtested Worst)/13.1667 (Backtested Avg),2026-03-13 (Farthest)/2025-12-09 (Avg),"-8.45%, 4 days","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-18 (Price: 11.6), 8.45% below",4 days,No Information,No Information,No Information,No Information,No Information,7.94% below/8.45% below/8.45% below,"10.91%, 28.9%",84 days/4 days/19 days,2026-03-13/2025-11-17/2025-12-09,29.91%,15.95%,13.96%,0.82,0.6,13.1743/13.1667/12.78/No Horizontal Resistance/18.927/29.733,12.27/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level,12.34/11.29,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"DIS, Long, 2025-11-12 (Price: 116.65)",Daily,No Price Target,2025-11-19 (Earliest),No Exit Yet,"2025-11-18 (Price: 106.97), 8.3% below","73.68%, Past 4 years, 19",9.26%/9.94%,"-8.3%, 4 days",9.92%/0.82%/3.54%,119.7296 (Historic Rise or Fall to Pivot)/120.7794 (Avg % Gain of Historic Winning trades)/116.88 (Exit Rule)/168.455 (Horizontal)/207.5364 (F-Stack 1)/245.6322 (F-Stack 2)/128.2217 (Backtested Best)/117.6065 (Backtested Worst)/120.7794 (Backtested Avg),2026-04-15 (Farthest)/2025-11-19 (Earliest)/2025-12-16 (Avg),"-8.3%, 4 days","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-18 (Price: 106.97), 8.3% below",4 days,No Information,No Information,No Information,No Information,No Information,4.7% below/8.3% below/8.3% below,"37.38%, 50.6%",107 days/5 days/24 days,2026-04-15/2025-11-19/2025-12-16,-11.02%,-2.49%,-8.53%,-0.17,-0.05,119.7296/120.7794/116.88/168.455/207.5364/245.6322,110.24/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level,113.25/110.16,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-11-12 (Price: 193.75)",Daily,No Price Target,2025-11-19 (Avg),No Exit Yet,"2025-11-18 (Price: 192.96), 0.41% below","80.0%, Past 4 years, 10",3.12%/3.12%,"-0.41%, 4 days",4.82%/1.26%/2.7%,201.5775 (Historic Rise or Fall to Pivot)/198.9812 (Avg % Gain of Historic Winning trades)/200.28 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/203.0888 (Backtested Best)/198.9812 (Backtested Avg),2025-12-02 (Farthest)/2025-11-19 (Avg),"-0.41%, 4 days","Daily, was CONFIRMED on 2025-11-12",Already confirmed,"2025-11-18 (Price: 192.96), 0.41% below",4 days,No Information,No Information,No Information,No Information,No Information,No Information,"8.44%, 8.44%",14 days/1 days/5 days,2025-12-02/2025-11-13/2025-11-19,6.54%,8.52%,-1.98%,0.2,0.33,201.5775/198.9812/200.28/240.8933/293.2329/455.2123,190.0/116.89/193.124/131.2534/No F-Track Level/No F-Track Level,216.67/247.05,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
OSCILLATOR DELTA,"EBO.NZ, Long, 2025-11-12 (Price: 28.6)",Daily,No Price Target,2025-11-16 (Earliest),No Exit Yet,"2025-11-18 (Price: 28.86), 0.91% above","73.53%, Past 6 years, 34",2.06%/4.05%,"0.91%, 4 days",11.87%/5.31%/7.12%,29.4551 (Historic Rise or Fall to Pivot)/30.6363 (Avg % Gain of Historic Winning trades)/30.03 (Exit Rule)/46.625 (Horizontal)/51.6772 (F-Stack 1)/55.325 (F-Stack 2)/31.9948 (Backtested Best)/30.1187 (Backtested Worst)/30.6363 (Backtested Avg),2026-03-12 (Farthest)/2025-12-19 (Avg),"0.91%, 4 days","Daily, is Confirmed on 2025-11-12",No Cancellation Possible,"2025-11-18 (Price: 28.86), 0.91% above",4 days,No Information,No Information,No Information,No Information,No Information,No Information,"15.91%, 19.8%",83 days/3 days/26 days,2026-03-12/2025-11-16/2025-12-19,-7.76%,2.55%,-10.31%,-0.12,0.06,29.4551/30.6363/30.03/46.625/51.6772/55.325,No Recent Minima/27.81/28.1277/26.5961/No F-Track Level/No F-Track Level,29.05/36.07,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
TRENDPULSE,"INDA, Long, 2025-11-11 (Price: 54.74)",Daily,No Price Target,2025-11-16 (Earliest),No Exit Yet,"2025-11-18 (Price: 54.455), 0.52% below","85.71%, Past 4 years, 14",1.35%/1.66%,"-0.52%, 5 days",3.11%/0.82%/1.79%,55.3586 (Historic Rise or Fall to Pivot)/55.7198 (Avg % Gain of Historic Winning trades)/58.07 (Exit Rule)/55.3633 (Horizontal)/66.8401 (F-Stack 1)/79.771 (F-Stack 2)/56.4424 (Backtested Best)/55.1889 (Backtested Worst)/55.7198 (Backtested Avg),2025-12-17 (Farthest)/2025-12-01 (Avg),"-0.52%, 5 days","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-18 (Price: 54.455), 0.52% below",5 days,No Information,No Information,No Information,No Information,No Information,1.31% above/0.52% below/0.52% below,"6.22%, 16.49%",25 days/4 days/14 days,2025-12-17/2025-11-16/2025-12-01,6.14%,7.37%,-1.22%,0.22,0.26,55.3586/55.7198/58.07/55.3633/66.8401/79.771,53.62/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level,53.48/52.74,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",Daily,No Price Target,2025-11-18 (Earliest),2025-11-17 (Price: 3102.2),"2025-11-18 (Price: 3087.1001), 1.32% above","96.97%, Past 4 years, 33",1.51%/3.15%,"1.32%, 5 days",13.38%/0.84%/4.51%,3133.8395 (Historic Rise or Fall to Pivot)/3184.4197 (Avg % Gain of Historic Winning trades)/3561.08 (Exit Rule)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6711.0756 (F-Stack 2)/3454.6886 (Backtested Best)/3184.4197 (Backtested Avg),2026-03-25 (Farthest)/2025-12-02 (Avg),"1.81%, 4 days","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-18 (Price: 3087.1001), 1.32% above",5 days,No Information,No Information,No Information,No Information,No Information,3.19% above/1.32% above/1.32% above,"12.98%, 25.8%",93 days/5 days/15 days,2026-03-25/2025-11-18/2025-12-02,36.95%,5.27%,31.68%,0.86,0.17,3133.8395/3184.4197/3561.08/4543.575/5637.7577/6711.0756,2990.2/2923.4601/2637.2425/2299.5932/No F-Track Level/No F-Track Level,3035.6/3362.93,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"ATD.TO, Long, 2025-11-11 (Price: 70.4)",Daily,No Price Target,2025-11-15 (Earliest),No Exit Yet,"2025-11-18 (Price: 70.05), 0.5% below","91.18%, Past 6 years, 34",3.73%/5.52%,"-0.5%, 5 days",12.15%/5.08%/7.16%,72.6598 (Historic Rise or Fall to Pivot)/75.4406 (Avg % Gain of Historic Winning trades)/73.92 (Exit Rule)/85.51 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2)/78.9536 (Backtested Best)/73.9763 (Backtested Worst)/75.4406 (Backtested Avg),2026-03-15 (Farthest)/2025-12-18 (Avg),"-0.5%, 5 days","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-18 (Price: 70.05), 0.5% below",5 days,No Information,No Information,No Information,No Information,No Information,No Information,"16.41%, 19.68%",86 days/3 days/26 days,2026-03-15/2025-11-15/2025-12-18,35.12%,10.15%,24.97%,0.34,0.37,72.6598/75.4406/73.92/85.51/85.3936/96.14,No Recent Minima/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level,72.5/71.46,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
OSCILLATOR DELTA,"META, Long, 2025-11-10 (Price: 631.76)",Daily,No Price Target,2025-11-14 (Earliest),No Exit Yet,"2025-11-18 (Price: 587.23), 7.05% below","72.41%, Past 6 years, 29",12.96%/13.06%,"-7.05%, 6 days",9.21%/5.09%/7.57%,679.5842 (Avg % Gain of Historic Winning trades)/663.35 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/689.9451 (Backtested Best)/663.9166 (Backtested Worst)/679.5842 (Backtested Avg),2025-12-13 (Farthest)/2025-11-24 (Avg),"-7.05%, 6 days","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-18 (Price: 587.23), 7.05% below",6 days,No Information,No Information,No Information,No Information,No Information,No Information,"24.1%, 28.78%",23 days/3 days/10 days,2025-12-13/2025-11-14/2025-11-24,-75.0%,21.72%,-96.72%,-0.28,0.69,619.1248/679.5842/663.35/No Horizontal Resistance/842.484/1305.5879,No Recent Minima/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level,707.15/676.47,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
