Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"ASHR, Long, 2026-03-26 (Price: 31.91)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 12","Daily, is CONFIRMED on 2026-03-26",Already confirmed,"2026-03-26 (Price: 31.91), 0.0% below",0 days,32.09,No Information,No Information,No Information,"23.66% (Price: 31.7285), 0.57% above, Upmove Bounce Back","2025-04-07 (Price: 23.27), 2026-01-12 (Price: 34.35)",No Information,17.94%/2.73%/10.86%,"-0.0%, 32.83%",2.3 years/1.7 month/10.3 months,2029-07-05/2026-06-07/2027-06-16,18.64%,-2.16%,20.8%,1.79,-0.19,No Target/35.3754/38.56/39.9467/60.1592/68.9354/No EMA 200 Target,31.79/23.36/No F-Stack Support/No F-Stack Support/31.6285/No stop loss/31.75,91.64%/275/5.4 months (Across ALL Assets),46.15%/52/5.4 months (Across ALL Assets)
DELTADRIFT,"FRW.NZ, Long, 2026-03-26 (Price: 12.58)",No Exit Yet,"0.0%, 0 days","71.43%, Past 4 years, 7","Daily, is CONFIRMED on 2026-03-26",Already confirmed,"2026-03-26 (Price: 12.58), 0.0% below",0 days,12.41,No Information,No Information,No Information,No Information,No Information,No Information,5.37%/2.86%/4.01%,"13.71%, 14.11%",1.2 month/1 day/9 days,2026-05-17/2026-03-27/2026-04-08,0.71%,4.01%,-3.3%,-0.04,0.19,13.2342/13.0845/13.16/14.94/14.9925/16.4712/13.07,12.35/7.405/12.2806/9.9285/12.2169/11.28/No EMA 200 Stop Loss,71.74%/138/15 days (Across ALL Assets),71.83%/529/15 days (Across ALL Assets)
TRENDPULSE,"XLE, Long, 2026-03-26 (Price: 61.52)",No Exit Yet,"0.0%, 0 days","92.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-03-26",Already confirmed,"2026-03-26 (Price: 61.52), 0.0% below",0 days,60.67,No Information,No Information,No Information,No Information,No Information,1.12% above/0.0% below/0.0% below,6.25%/0.35%/2.8%,"17.66%, 40.87%",3.5 months/6 days/1 month,2026-08-25/2026-04-03/2026-05-08,9.51%,8.03%,1.48%,0.31,0.41,64.9528/63.2426/81.83/No Horizontal Resistance/No Target/No Target/No EMA 200 Target,55.6/37.6833/53.114/47.8423/49.9306/42.5996/46.72,91.84%/282/1.3 month (Across ALL Assets),80.16%/514/1.5 month (Across ALL Assets)
OSCILLATOR DELTA,"DOL.TO, Long, 2026-03-26 (Price: 168.84)",No Exit Yet,"0.0%, 0 days","88.24%, Past 6 years, 17","Daily, is Confirmed on 2026-03-26",No Cancellation Possible,"2026-03-26 (Price: 168.84), 0.0% below",0 days,171.36,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.64%/10.31%,"10.55%, 13.94%",5.8 months/2 days/2.3 months,2026-12-03/2026-03-28/2026-07-03,19.66%,19.52%,0.14%,0.91,1.22,181.7563/186.2474/177.28/197.56/252.753/384.8349/191.23,No Recent Minima/53.2967/120.6711/89.4908/No stop loss/No stop loss/No EMA 200 Stop Loss,97.56%/41/29 days (Across ALL Assets),78.47%/418/26 days (Across ALL Assets)
FRACTAL TRACK,"FRW.NZ, Long, 2026-03-26 (Price: 12.58)",No Exit Yet,"0.0%, 0 days","88.89%, Past 5 years, 9","Daily, is CONFIRMED on 2026-03-26",Already confirmed,"2026-03-26 (Price: 12.58), 0.0% below",0 days,12.41,No Information,No Information,No Information,"38.2% (Price: 12.2169), 2.97% above, Upmove Bounce Back","2023-10-30 (Price: 7.31), 2026-02-12 (Price: 15.25)",No Information,13.53%/1.54%/10.4%,"4.41%, 40.87%",3.7 years/3.6 months/1.2 year,2031-07-07/2026-08-29/2027-12-11,11.59%,4.86%,6.73%,1.04,0.24,12.9071/13.8883/17.34/14.94/14.9925/16.4712/13.07,12.35/7.405/12.2806/9.9285/12.2169/11.28/No EMA 200 Stop Loss,91.64%/275/5.4 months (Across ALL Assets),46.15%/52/5.4 months (Across ALL Assets)
FRACTAL TRACK,"GILD, Long, 2026-03-25 (Price: 138.26)",No Exit Yet,"-1.0%, 1 day","100.0%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-03-26 (Price: 136.88), 1.0% below",1 day,139.76,No Information,No Information,No Information,"23.66% (Price: 134.7457), 1.58% above, Upmove Bounce Back","2024-05-31 (Price: 62.07), 2026-02-11 (Price: 157.27)",No Information,17.08%/2.06%/9.98%,"0%, 27.82%",1.8 year/28 days/5.7 months,2028-10-18/2026-05-04/2026-11-27,29.7%,11.0%,18.7%,2.35,0.63,149.7079/152.0583/195.38/No Horizontal Resistance/154.7608/163.0355/No EMA 200 Target,137.21/57.18/121.083/104.5806/No F-Track Level/No F-Track Level/123.55,91.64%/275/5.4 months (Across ALL Assets),46.15%/52/5.4 months (Across ALL Assets)
DELTADRIFT,"AIA.NZ, Long, 2026-03-25 (Price: 8.08)",No Exit Yet,"-0.5%, 1 day","88.89%, Past 4 years, 9","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-03-26 (Price: 8.04), 0.5% below",1 day,7.96,No Information,No Information,No Information,No Information,No Information,No Information,8.29%/1.35%/4.14%,"5.72%, 9.11%",1.7 month/1 day/15 days,2026-06-06/2026-03-26/2026-04-15,10.4%,2.17%,8.23%,0.79,0.05,8.4945/8.4145/8.45/8.8962/11.1706/12.8535/No EMA 200 Target,7.93/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/8.03,71.74%/138/15 days (Across ALL Assets),71.83%/529/15 days (Across ALL Assets)
FRACTAL TRACK,"MSE.PA, Long, 2026-03-25 (Price: 63.19)",No Exit Yet,"-1.57%, 1 day","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-03-26 (Price: 62.2), 1.57% below",1 day,63.35,No Information,No Information,No Information,"23.66% (Price: 59.315), 4.86% above, Upmove Bounce Back","2023-10-23 (Price: 41.94), 2025-11-13 (Price: 64.7)",No Information,10.86%/2.75%/8.53%,"0%, 23.33%",1.6 year/1.3 month/5.5 months,2028-07-06/2026-05-20/2026-11-18,22.9%,9.15%,13.75%,2.88,0.6,65.2184/68.5801/76.85/No Horizontal Resistance/81.1364/93.8009/No EMA 200 Target,61.5/33.6667/58.4776/52.627/No F-Track Level/No F-Track Level/62.59,91.64%/275/5.4 months (Across ALL Assets),46.15%/52/5.4 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2026-03-25 (Price: 37.19)",No Exit Yet,"0.3%, 1 day","90.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-03-26 (Price: 37.3), 0.3% above",1 day,36.46,No Information,No Information,No Information,"23.66% (Price: 36.4054), 2.46% above, Upmove Bounce Back","2023-10-27 (Price: 20.29), 2026-03-03 (Price: 41.4)",No Information,10.94%/2.55%/7.81%,"1.6%, 46.76%",3.3 years/28 days/1.1 year,2030-12-09/2026-05-04/2027-10-19,8.47%,1.81%,6.66%,1.1,0.09,38.1569/40.0945/49.86/39.407/40.9296/48.5677/37.56,36.18/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.64%/275/5.4 months (Across ALL Assets),46.15%/52/5.4 months (Across ALL Assets)
FRACTAL TRACK,"BTI, Long, 2026-03-25 (Price: 58.45)",No Exit Yet,"-0.33%, 1 day","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-03-26 (Price: 58.26), 0.33% below",1 day,58.145,No Information,No Information,No Information,"50% (Price: 58.2488), 0.02% above, Upmove Bounce Back","2026-01-07 (Price: 53.28), 2026-02-25 (Price: 63.2176)",No Information,11.33%/1.41%/8.86%,"-0.0%, 37.23%",3.3 years/1.4 month/1.2 year,2030-12-09/2026-05-24/2027-12-10,11.0%,5.81%,5.19%,1.67,0.3,63.1786/63.6287/64.41/59.135/82.226/92.0468/No EMA 200 Target,57.37/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/55.39,91.64%/275/5.4 months (Across ALL Assets),46.15%/52/5.4 months (Across ALL Assets)
