Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"CSCO, Long, 2026-01-27 (Price: 78.225)",No Exit Yet,"0.0%, 0 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-27 (Price: 78.225), 0.0% below",0 days,77.2,No Information,No Information,No Information,No Information,No Information,4.87% above/0.0% below/0.0% below,5.83%/1.03%/2.65%,"17.72%, 27.08%",1.1 month/6 days/12 days,2026-03-15/2026-02-04/2026-02-13,6.96%,6.16%,0.8%,0.14,0.32,80.8221/80.298/78.51/No Horizontal Resistance/81.4336/89.7071/No EMA 200 Target,73.35/40.92/73.1467/64.9561/72.2267/66.9458/68.98,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"EEM, Long, 2026-01-27 (Price: 60.09)",No Exit Yet,"0.0%, 0 days","90.91%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-27 (Price: 60.09), 0.0% below",0 days,59.97,No Information,No Information,No Information,No Information,No Information,1.55% above/0.0% below/0.0% below,4.72%/1.07%/2.64%,"25.37%, 34.75%",3.1 months/6 days/21 days,2026-06-10/2026-02-04/2026-02-26,2.19%,2.36%,-0.17%,0.01,0.07,62.8061/61.6764/63.54/No Horizontal Resistance/58.9308/64.643/No EMA 200 Target,52.6/37.485/54.2403/No support/53.0096/48.6462/50.88,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2026-01-27 (Price: 312.8)",No Exit Yet,"0.0%, 0 days","83.33%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-27 (Price: 312.8), 0.0% below",0 days,312.32,No Information,No Information,No Information,No Information,No Information,0.05% below/0.0% below/0.0% below,4.95%/0.71%/2.55%,"0.45%, 11.38%",3.9 months/7 days/1.3 month,2026-07-15/2026-02-06/2026-03-24,12.38%,5.6%,6.78%,1.08,0.28,323.185/320.7764/339.28/321.444/322.837/371.0748/No EMA 200 Target,302.84/228.4467/306.2751/267.8324/No support/No support/306.32,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"META, Long, 2026-01-26 (Price: 672.36)",No Exit Yet,"-0.05%, 1 day","95.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-27 (Price: 672.0), 0.05% below",1 day,665.13,No Information,No Information,No Information,No Information,No Information,2.01% above/0.05% below/0.05% below,7.24%/0.93%/3.71%,"13.49%, 60.2%",4.5 months/8 days/29 days,2026-08-09/2026-02-06/2026-03-09,19.23%,15.29%,3.94%,0.63,0.7,738.1168/697.3046/717.58/No Horizontal Resistance/842.484/1305.5879/678.46,604.12/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"MSFT, Long, 2026-01-26 (Price: 470.28)",No Exit Yet,"1.6%, 1 day","87.5%, Past 4 years, 32","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-27 (Price: 477.81), 1.6% above",1 day,465.31,No Information,No Information,No Information,No Information,No Information,1.6% above/1.6% above/1.6% above,10.58%/0.94%/3.11%,"6.45%, 26.99%",3.9 months/6 days/26 days,2026-07-14/2026-02-03/2026-03-04,13.15%,14.47%,-1.32%,0.53,0.76,486.3636/484.9057/494.69/554.585/553.3726/615.9924/484.55,444.11/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"CVS, Long, 2026-01-26 (Price: 83.87)",No Exit Yet,"-11.29%, 1 day","95.24%, Past 4 years, 21","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-27 (Price: 74.405), 11.29% below",1 day,83.25,No Information,No Information,No Information,No Information,No Information,10.37% below/11.29% below/11.29% below,8.82%/1.81%/5.43%,"17.9%, 26.0%",3.3 months/6 days/24 days,2026-06-18/2026-02-03/2026-03-01,17.78%,0.86%,16.92%,0.7,0.05,88.6925/88.4241/87.37/106.045/116.3721/144.3517/No EMA 200 Target,78.6/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level/71.96,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"USO, Long, 2026-01-26 (Price: 73.48)",No Exit Yet,"1.07%, 1 day","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-27 (Price: 74.265), 1.07% above",1 day,73.36,No Information,No Information,No Information,No Information,No Information,3.4% above/1.07% above/1.07% above,7.26%/0.81%/3.43%,"8.68%, 22.5%",5.2 months/6 days/2 months,2026-09-08/2026-02-03/2026-04-22,13.27%,-3.97%,17.24%,0.8,-0.03,73.6343/76.0004/76.77/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,67.79/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/71.82,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2026-01-26 (Price: 182.44)",No Exit Yet,"-3.41%, 1 day","100.0%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-27 (Price: 176.21), 3.41% below",1 day,179.1,No Information,No Information,No Information,No Information,No Information,0.54% below/3.41% below/3.41% below,13.62%/0.73%/5.74%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,2026-06-14/2026-02-03/2026-03-19,20.9%,16.31%,4.59%,1.07,0.75,202.0341/192.9121/216.06/No Horizontal Resistance/300.069/376.1425/218.9,173.88/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
DELTADRIFT,"BRK-B, Long, 2026-01-26 (Price: 483.47)",No Exit Yet,"-1.3%, 1 day","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-01-27 (Price: 477.1701), 1.3% below",1 day,478.47,No Information,No Information,No Information,No Information,No Information,No Information,3.8%/1.42%/2.23%,"7.01%, 7.01%",1.4 month/1 day/11 days,2026-03-27/2026-01-27/2026-02-10,4.18%,10.92%,-6.74%,0.08,0.77,501.8902/494.2514/498.07/512.255/630.85/709.9376/495.43,478.97/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
DELTADRIFT,"IHI, Long, 2026-01-26 (Price: 60.74)",No Exit Yet,"-0.28%, 1 day","85.0%, Past 4 years, 20","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-01-27 (Price: 60.57), 0.28% below",1 day,60.27,No Information,No Information,No Information,No Information,No Information,No Information,5.45%/1.28%/2.72%,"9.31%, 10.0%",19 days/1 day/7 days,2026-02-22/2026-01-27/2026-02-05,10.24%,1.25%,8.99%,0.38,-0.05,64.7002/62.3921/63.55/65.925/68.9264/76.3906/61.25,60.28/46.725/56.0899/46.1919/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
