Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Max Drawdown [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"JETS, Long, 2025-10-24 (Price: 25.54)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 10","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-24 (Price: 25.54), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 21.3052), 19.88% above, Upmove Bounce Back","2019-09-01 (Price: 27.55), 2023-07-16 (Price: 22.5)",No Information,22.85%/22.85%/22.85%,"-0.0%, 17.18%",229 days/229 days/229 days,2026-09-20/2026-09-20/2026-09-20,7.2%,0.53%,6.67%,0.28,0.06,24.7738/31.3759/28.57/27.1773/36.0778/41.7471,24.21/14.732/No Next Fib Ext Support/No Next Fib Ext Support/25.4834/26.405,25.49/23.7,84.51%/71/553 days (Across ALL Assets),64.74%/190/227 days (Across ALL Assets)
FRACTAL TRACK,"WPM, Long, 2025-10-24 (Price: 98.15)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 20","Daily, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-24 (Price: 98.15), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 91.864), 6.84% above, Upmove Bounce Back","2024-12-30 (Price: 55.47), 2025-10-16 (Price: 114.36)",No Information,47.65%/5.21%/23.57%,"-0.0%, 25.67%",491 days/38 days/176 days,2027-10-05/2025-12-18/2026-07-05,26.76%,15.48%,11.28%,0.55,0.54,101.9779/121.284/133.48/No Horizontal Resistance/117.2283/128.464,95.84/38.3375/94.5529/85.5992/96.3808/85.3318,103.7/85.77,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-24 (Price: 78.46)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 31","Daily, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-24 (Price: 78.46), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 78.1235), 0.43% above, Upmove Bounce Back","2025-04-09 (Price: 62.26), 2025-10-15 (Price: 83.04)",No Information,37.31%/4.37%/16.41%,"-0.0%, 15.24%",218 days/11 days/62 days,2026-09-04/2025-11-08/2026-01-21,28.85%,12.22%,16.63%,0.42,0.46,79.9194/91.3353/90.93/84.3925/108.5192/128.6503,78.12/38.015/69.2261/55.1981/106.4561/111.6527,78.93/74.17,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"TRI.TO, Long, 2025-10-24 (Price: 227.55)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 14","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-24 (Price: 227.55), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 205.33), 10.82% above, Upmove Bounce Back","2018-05-13 (Price: 53.4023), 2025-07-20 (Price: 299.24)",No Information,218.9%/1.4%/46.83%,"-0.0%, 26.29%",1864 days/34 days/451 days,2033-03-15/2025-12-12/2027-08-08,17.16%,10.46%,6.7%,0.56,0.41,253.3769/334.1117/375.05/240.8933/308.8111/326.8654,212.03/116.89/202.701/175.5204/232.2261/211.5255,229.64/249.48,84.51%/71/553 days (Across ALL Assets),64.74%/190/227 days (Across ALL Assets)
FRACTAL TRACK,"HOOD, Long, 2025-10-24 (Price: 139.79)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 14","Daily, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-24 (Price: 139.79), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 119.2466), 17.23% above, Upmove Bounce Back","2022-12-28 (Price: 7.565), 2025-10-06 (Price: 153.86)",No Information,129.73%/9.09%/78.62%,"-0.0%, 56.69%",668 days/67 days/235 days,2028-06-17/2026-01-29/2026-09-29,101.75%,34.23%,67.52%,0.95,0.97,165.0501/249.6929/227.57/No Horizontal Resistance/201.8345/320.8923,127.22/8.2917/128.2528/82.7767/119.3282/98.1071,123.62/79.21,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"IBKR, Long, 2025-10-24 (Price: 68.75)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 20","Daily, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-24 (Price: 68.75), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 63.7606), 7.83% above, Upmove Bounce Back","2025-04-07 (Price: 32.82), 2025-10-10 (Price: 73.35)",No Information,177.45%/8.73%/69.36%,"-0.0%, 38.74%",813 days/26 days/242 days,2029-01-13/2025-11-30/2026-10-09,76.4%,38.72%,37.68%,0.7,1.31,68.7431/116.435/93.07/No Horizontal Resistance/77.1458/95.5947,64.77/13.0762/64.9573/52.397/63.7606/57.8675,65.51/54.98,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2025-10-24 (Price: 11.9)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 9","Daily, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-24 (Price: 11.9), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,1.71% above/0.0% below/0.0% below,8.54%/0.69%/5.09%,"0%, 11.81%",133 days/4 days/22 days,2026-05-04/2025-10-29/2025-11-24,14.49%,9.01%,5.48%,1.83,0.33,12.802/12.5057/12.58/13.345/16.7981/18.5763,10.6/9.1367/11.1928/8.9354/14.1356/14.5631,11.05/11.53,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
FRACTAL TRACK,"IEI, Long, 2025-10-24 (Price: 120.2)",No Exit Yet,"0.0%, 0 days","96.43%, Past 18 years, 28","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-24 (Price: 120.2), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 117.1993), 2.56% above, Upmove Bounce Back","2021-04-11 (Price: 129.59), 2023-05-07 (Price: 119.57)",No Information,7.52%/0.48%/4.33%,"1.04%, 6.36%",999 days/194 days/490 days,2029-10-09/2026-07-31/2027-10-03,3.28%,0.97%,2.31%,0.32,-0.88,120.813/125.4047/126.21/129.9625/No Next Fib Ext/No Next Fib Ext,117.11/113.0583/No Next Fib Ext Support/No Next Fib Ext Support/139.4714/142.7661,119.62/118.04,84.51%/71/553 days (Across ALL Assets),64.74%/190/227 days (Across ALL Assets)
FRACTAL TRACK,"WPM.TO, Long, 2025-10-24 (Price: 137.43)",No Exit Yet,"0.0%, 0 days","96.3%, Past 5 years, 27","Daily, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-24 (Price: 137.43), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 129.6661), 5.99% above, Upmove Bounce Back","2024-12-30 (Price: 79.88), 2025-10-16 (Price: 160.44)",No Information,69.2%/2.17%/22.41%,"0.62%, 39.55%",788 days/15 days/161 days,2028-12-08/2025-11-14/2026-06-14,35.74%,16.59%,19.15%,0.57,0.59,143.257/168.2281/185.77/No Horizontal Resistance/157.8984/182.3343,134.31/52.782/131.322/118.8187/134.8186/119.0732,143.64/119.28,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"NVDA, Long, 2025-10-24 (Price: 186.26)",No Exit Yet,"0.0%, 0 days","92.86%, Past 5 years, 28","Daily, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-24 (Price: 186.26), 0.0% below",0 days,No Information,No Information,No Information,"50% (Price: 179.845), 3.57% above, Upmove Bounce Back","2025-09-05 (Price: 164.07), 2025-10-10 (Price: 195.62)",No Information,579.84%/6.06%/101.37%,"4.7%, 44.79%",562 days/31 days/123 days,2028-01-16/2025-12-07/2026-04-20,103.84%,69.06%,34.78%,0.31,1.75,198.8698/375.0718/205.19/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext,179.83/13.9695/89.3715/78.6795/169.8306/153.982,179.59/146.58,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
